,Protein IDs,Genus,KEGG_COG, HM454, HM455, HM466, HM503
44,MH0062_GL0025242,Faecalibacterium,K01873,22192000,16219000,0,0
45,MH0128_GL0012238,Faecalibacterium,K01873,3863400,20346000,0,3218300
46,MH0244_GL0029239,Faecalibacterium,K01873,902760000,762660000,580810000,14878000
47,MH0377_GL0014956,Faecalibacterium,K01873,57265000,51976000,31756000,0
48,O2.UC37-1_GL0148642,Faecalibacterium,K01873,125350000,150550000,14870000,2574400
49,V1.CD4-0-PN_GL0104465,Alistipes,K13990,5445400,21094000,2172600,0
50,O2.UC35-1_GL0197004,Bilophila,K02939,0,92877000,0,0
51,MH0287_GL0143339,Faecalibacterium,COG1362,478360000,304980000,244680000,22530000
52,DOF012_GL0056053,Bacteroides,K21449,0,0,21065000,0
53,ED9A_GL0090835,Bacteroides,K21449,6530500000,89858000000,908140000,211460000
54,V1.CD7-0_GL0013540,Bacteroides,,121600000,189290000,136380000,60572000
55,MH0230_GL0071907,Akkermansia,COG1940,0,6316100,78490000,0
56,MH0230_GL0062738,Akkermansia,COG0457,0,0,8086500,0
57,V1.CD3-0-PN_GL0051103,Alistipes,,35975000,204930000,6482300,0
58,545696.HOLDEFILI_02944,Holdemania,COG1053,50598000,0,0,0
59,MH0131_GL0004892,Bifidobacterium,COG3266,11779000,199440000,4650600,27588000
60,MH0002_GL0076898,Bacteroides,K21572,8554000,1339900000,3373300,55197000
61,MH0006_GL0116772,Alistipes,K01689,0,8609100,0,0
62,MH0377_GL0052277,Alistipes,K01689,0,88480000,27511000,0
63,MH0244_GL0085563,Alistipes,K01689,643690000,1732800000,424110000,7892600
64,MH0266_GL0106991,Alistipes,K01689,0,24800000,16276000,0
65,T2D-53A_GL0030224,Alistipes,K01689,3743900,9091700,8939700,0
66,V1.CD6-4_GL0084998,Alistipes,K01689,19104000,57721000,10971000,0
67,T2D-19A_GL0046927,Lachnoclostridium,COG1879,0,0,0,19964000
68,246515023-stool2_revised_scaffold15183_1_gene14779,Bacteroides,COG0561,8875000,15892000,9239400,41002000
69,T2D-11A_GL0038439,Bacteroides,COG0561,0,6179000,0,0
70,MH0038_GL0006133,Bacteroides,K21572,9635100,899250000,6092200,36415000
71,NLM029_GL0047109,Alistipes,COG1995,16922000,65671000,5350500,0
72,V1.FI26_GL0246085,Butyricicoccus,K01689,383130000,118600000,84025000,109160000
73,MH0234_GL0006220,Bacteroides,K02959,0,0,0,113070000
74,V1.CD52-0_GL0127924,Bacteroides,K02959,15928000,0,0,0
75,O2.UC22-2_GL0138063,Bacteroides,K02959,6549100,15458000,651010000,122960000
76,SZEY-26A_GL0051618,Bacteroides,K02959,0,34703000,0,19435000
77,MH0011_GL0057306,Bacteroides,K02959,95476000,853440000,41732000,50046000
78,V1.FI06_GL0097567,Bacteroides,K02959,35508000,0,20001000,0
79,MH0013_GL0031521,Bacteroides,K02959,209530000,149800000,40875000,6251600
80,MH0108_GL0012507,Sutterella,K01689,623620000,0,549610000,29626000
81,SZEY-62A_GL0055509,Alistipes,K00059,47666000,0,19180000,0
82,V1.UC11-0_GL0011217,Clostridium,K21577,80869000,32845000,387960000,0
83,MH0006_GL0079696,Alistipes,K01889,19894000,28908000,2921000,0
84,MH0233_GL0047416,Faecalibacterium,K05349,2402900,0,0,0
85,MH0342_GL0095951,Faecalibacterium,K05349,62727000,4240600,74255000,0
86,MH0400_GL0069039,Prevotella,K01955,65850000,4252300,1820100,3989600
87,MH0011_GL0072223,Methanobrevibacter,K19824,5062600,172700000,0,0
88,NOF008_GL0072040,Faecalibacterium,COG3853,528250000,452360000,364490000,13273000
89,SZEY-29A_GL0011083,Faecalibacterium,COG3853,29128000,14954000,26302000,0
90,MH0055_GL0064419,Bacteroides,COG1538,2902800,28322000,1367600,39830000
91,MH0088_GL0111846,Dorea,K10117,41451000,0,0,0
92,MH0316_GL0201122,Dorea,K10117,66896000,56737000,1113000000,5756100
93,765094712-stool1_revised_scaffold972_1_gene39797,Bacteroides,COG0457,148740000,1145700000,39838000,324910000
94,MH0016_GL0086605,Bacteroides,COG0457,0,3999200,7188800,0
95,MH0101_GL0066592,Bacteroides,COG0457,773400000,4907500000,14839000000,4961000000
96,MH0148_GL0074547,Bacteroides,COG0457,202870000,2522100,84941000,7763600000
97,MH0393_GL0115551,Bacteroides,COG0457,5567200,29279000,0,131340000
98,411901.BACCAC_00028,Bacteroides,COG0457,18445000000,20874000000,20188000000,29059000000
99,MH0010_GL0033792,Bacteroides,COG0457,557010000,0,408130000,2208200
100,763496533-stool2_revised_scaffold45215_1_gene127064,Bacteroides,COG0457,6488800000,29188000000,352170000,882340000
101,V1.CD46-0_GL0086187,Coprococcus,K21577,1347300000,1387900000,344870000,400730000
102,MH0139_GL0034798,Ruminococcus,K01835,5158400,193980000,0,2772000
103,O2.UC34-2_GL0099410,Bacteroides,K05349,210150000,177840000,157870000,415140000
104,T2D-135A_GL0033186,Bacteroides,K05349,10163000,19209000,0,0
105,MH0004_GL0006739,Bacteroides,K00346,0,0,42341000,34949000
106,MH0243_GL0083026,Bacteroides,K00346,0,0,10065000,0
107,MH0055_GL0074754,Bacteroides,K00346,0,0,0,368260000
108,MH0006_GL0058613,Faecalibacterium,COG1362,188250000,18426000,4475500,0
109,V1.CD14-0_GL0049839,Faecalibacterium,K23351,13741000,489810000,164230000,169490000
110,V1.UC8-0_GL0030079,Dorea,K23351,62233000,0,90800000,35185000
111,MH0150_GL0041626,Odoribacter,K01689,3616700,33780000,3382200,0
112,T2D-135A_GL0079477,Bacteroides,K00634,201750000,60600000,40012000,82215000
113,MH0094_GL0005982,Parabacteroides,K12373,86990000,24649000,0,3827500
114,O2.UC48-0_GL0016473,Butyricicoccus,K02926,0,0,0,0
115,DOF009_GL0035413,Bifidobacterium,K01870,0,16894000,2178500,0
116,MH0133_GL0058644,Parabacteroides,K00382,215100000,57810000,14308000,0
117,MH0284_GL0139288,Collinsella,COG1902,67283000,235260000,24951000,0
118,O2.UC15-2_GL0094878,Collinsella,COG1902,0,17490000,0,0
119,V1.CD8-0-PN_GL0000854,Collinsella,COG1902,0,0,0,0
120,MH0002_GL0038259,Bacteroides,K24847,31367000,31438000,7662400,7743200
121,V1.UC5-3_GL0138636,Faecalibacterium,COG1052,14326000,0,0,0
122,MH0108_GL0002390,Sutterella,COG2608,19398000,0,12902000,0
123,MH0006_GL0205591,Alistipes,K01952,60440000,97177000,20519000,804810
124,MH0220_GL0146362,Alistipes,K01952,25632000,60596000,3647300,0
125,DOF004_GL0081867,Faecalibacterium,COG0426,16435000,0,16453000,0
126,MH0176_GL0104572,Faecalibacterium,COG0426,20236000,9320000,2838200,0
127,MH0308_GL0102604,Faecalibacterium,COG0426,0,74963000,0,0
128,MH0161_GL0087217,Faecalibacterium,COG0426,5931700,15379000,12084000,0
129,V1.UC40-1_GL0183307,Collinsella,K03110,19611000,20945000,0,0
130,O2.UC15-1_GL0032827,Dorea,K01703,6908100,4856300,36284000,6131800
131,MH0203_GL0013763,Bifidobacterium,K00134,550190000,1957700000,2936100,43565000
132,O2.UC8-0_GL0153477,Bifidobacterium,K00134,127340000,1075500000,4491700,0
133,MH0079_GL0003369,Bacteroides,K03572,0,0,0,7166300
134,MH0265_GL0157556,Faecalibacterium,K04042,64856000,156690000,43535000,0
135,411483.FAEPRAA2165_00930,Faecalibacterium,COG0426,654940000,844350000,359350000,81466000
136,MH0412_GL0157941,Faecalibacterium,COG0426,84936000,15913000,266350000,0
137,MH0017_GL0002348,Faecalibacterium,COG0426,0,0,5736000,0
138,MH0003_GL0001425,Faecalibacterium,,146090000,13678000,10622000,47956000
139,MH0234_GL0123232,Faecalibacterium,,16174000,0,0,0
140,MH0445_GL0049511,Collinsella,K02563,0,11322000,0,0
141,MH0191_GL0163537,Ruminococcus,K00194,0,10085000,37388000,0
142,MH0427_GL0042696,Bacteroides,K07387,787880000,286890000,203220000,150030000
143,DLF005_GL0076166,Bacteroides,COG4206,45522000,18806000,0,522610000
144,MH0338_GL0160174,Bacteroides,COG4206,0,0,33255000,401220000
145,O2.UC18-1_GL0085322,Bacteroides,COG4206,35888000,3920800,35644000,4173400000
146,V1.FI02_GL0143540,Bacteroides,COG4206,0,0,0,7124000
147,NLF008_GL0061906,Faecalibacterium,COG3181,892810000,66058000,47699000,5572900
148,MH0188_GL0115288,Bifidobacterium,K03077,14314000,76623000,0,0
149,V1.CD40-0_GL0123711,Bifidobacterium,K03077,13098000,85601000,0,0
150,159591683-stool2_revised_scaffold9879_1_gene8206,Clostridium,K01689,286710000,220500000,1862500000,49274000
151,NOM027_GL0019539,Clostridium,K01689,0,0,0,0
152,MH0453_GL0035804,Blautia,,440640000,12671000,13609000,0
153,O2.UC21-1_GL0069971,Blautia,,46683000,13086000,130550000,0
154,MH0239_GL0089694,Clostridium,K00134,0,0,23083000,0
155,MH0239_GL0088157,Clostridium,K00134,0,0,0,9881400
156,V1.FI18_GL0023886,Bacteroides,K01190,83911000,338290000,27336000,2652300000
157,V1.FI22_GL0164150,Bacteroides,K01190,0,16272000,0,5770200
158,MH0188_GL0025027,Bifidobacterium,K02027,64615000,354090000,22393000,0
159,MH0188_GL0038048,Bifidobacterium,K00324,22332000,23735000,0,6326200
160,MH0090_GL0064046,Ruminiclostridium,K23351,0,15968000,0,0
161,V1.FI22_GL0140375,Collinsella,K02343,19396000,19405000,3913000,0
162,O2.UC19-1_GL0014221,Blautia,K23351,1094800000,0,0,2982300000
163,944560.HMPREF9058_1375,Actinomyces,K01596,0,15982000,8696800,34016000
164,NLM027_GL0059392,Actinomyces,K01596,0,0,0,60871000
165,T2D-112A_GL0019188,Phascolarctobacterium,K23351,12634000,0,443210000,0
166,O2.UC14-1_GL0160910,Bacteroides,COG1256,16922000,0,3403900,10002000
167,T2D-127A_GL0070812,Clostridium,K02968,66771000,200980000,121520000,2434600000
168,V1.CD3-0-PN_GL0031383,Bilophila,K01872,0,17016000,0,0
169,MH0108_GL0106931,Sutterella,K02968,278260000,1432800,178220000,5551200
170,V1.FI32_GL0179983,Collinsella,K03696,5851900,32466000,0,0
171,V1.CD36-0_GL0040640,Collinsella,COG0330,7602300,10663000,0,0
172,MH0012_GL0158412,Bifidobacterium,K15770,0,118070000,2518900,1497600
173,T2D-109A_GL0055315,Bifidobacterium,K15770,0,16616000,0,5739800
174,MH0246_GL0017883,Oscillibacter,COG0624,38819000,309280000,129200000,151880000
175,MH0002_GL0018506,Alistipes,COG2885,797530000,5887500000,308600000,19032000
176,MH0092_GL0036056,Faecalibacterium,K03615,14452000,38313000,0,2212800
177,MH0108_GL0020958,Sutterella,K04043,993050000,37991000,696280000,0
178,158256496-stool1_revised_scaffold2389_2_gene37574,Bacteroides,K04771,0,11262000,0,0
179,V1.CD17-0_GL0095599,Bacteroides,K04771,99956000,586000000,58427000,160430000
180,O2.UC44-1_GL0166896,Bifidobacterium,K01621,751680000,3439400000,686470000,2403700
181,V1.FI11_GL0132581,Bifidobacterium,K01621,22132000,51231000,0,419970000
182,367928.BAD_0339,Bifidobacterium,K02907,0,69646000,0,0
183,MH0274_GL0075660,Clostridium,K03106,2993000,7409200,36460000,7389900
184,MH0372_GL0123734,Hungatella,K00134,46402000,0,157410000,58517000
185,V1.FI04_GL0078427,Ruminococcus,K00134,0,292100000,0,4321500
186,MH0087_GL0029662,Ruminococcus,K00134,14834000,476020000,69605000,45327000
187,MH0092_GL0145387,Ruminococcus,K00134,0,0,0,24870000
188,MH0389_GL0079357,Ruminococcus,K00134,0,0,3676900,34028000
189,MH0003_GL0040118,Bacteroides,K21572,2120200000,279600000,968920000,742690000
190,763860675-stool1_revised_scaffold26135_1_gene74852,Bacteroides,COG1256,0,1868800000,10521000,0
191,V1.FI10_GL0003068,Bilophila,K17996,0,76795000,0,0
192,MH0173_GL0025251,Clostridium,K01689,7713500,14368000,17821000,2551100
193,MH0188_GL0092730,Eubacterium,K01689,5159500,10447000,344640000,0
194,MH0136_GL0119480,Faecalibacterium,K01689,42326000,0,206610000,0
195,MH0433_GL0190570,Blautia,K01689,228190000,29200000,202780000,0
196,MH0341_GL0112135,Collinsella,COG2145,5866500,20412000,0,0
197,MH0229_GL0055385,Collinsella,K02770,0,77832000,0,0
198,MH0330_GL0119583,Collinsella,K02770,60038000,0,0,0
199,NOM001_GL0025336,Bacteroides,K03110,176400000,253110000,105260000,85056000
200,449673.BACSTE_03293,Bacteroides,K21572,58529000,1659800000,0,46034000
201,MH0222_GL0179247,Clostridium,K00625,214420000,1261300000,226810000,522460000
202,MH0004_GL0013545,Bacteroides,K03615,34253000,4058900,49006000,32653000
203,MH0055_GL0008656,Bacteroides,K03615,0,26213000,16549000,341120000
204,MH0199_GL0075064,Faecalibacterium,K01604,23364000,34976000,0,0
205,MH0227_GL0116247,Faecalibacterium,K01604,15678000,85225000,865820,0
206,V1.CD21-4_GL0047962,Lachnoclostridium,K03616,0,0,0,24962000
207,737052003-stool1_revised_scaffold30824_1_gene8693,Faecalibacterium,K02823,15416000,10642000,4738500,3022700
208,MH0293_GL0031929,Faecalibacterium,K02823,20848000,0,0,0
209,O2.UC11-2_GL0128148,Faecalibacterium,K02823,17023000,12125000,2261600,0
210,O2.UC34-2_GL0036490,Faecalibacterium,K02823,58447000,55162000,43936000,0
211,MH0444_GL0061498,Tyzzerella,K14698,0,4075100,0,395240000
212,MH0135_GL0044397,Parabacteroides,COG5107,855030000,6061200,60886000,17801000
213,MH0203_GL0263101,Dorea,K00283,47412000,16665000,320890000,64823000
214,MH0188_GL0142127,Butyricicoccus,K00134,221460000,19956000,33400000,0
215,O2.UC11-1_GL0077191,Dorea,K00873,17541000,6178000,103140000,0
216,T2D-135A_GL0018887,Bacteroides,COG2373,7044700,11245000,0,38102000
217,MH0010_GL0034959,Faecalibacterium,K02114,6845900,0,0,0
218,MH0276_GL0189245,Faecalibacterium,K02114,130330000,86788000,73952000,0
219,MH0127_GL0011324,Coprococcus,K03737,953130000,5143500000,566600000,425030000
220,MH0435_GL0186077,Coprococcus,K03737,3202100,203510000,0,0
221,V1.CD53-0_GL0040466,Clostridium,K03616,11904000,103780000,5484600,26694000
222,DOM005_GL0024515,Bacteroides,K01847,0,17040000,0,0
223,MH0013_GL0018439,Bacteroides,K01847,521140000,712030000,246830000,966120000
224,MH0026_GL0028599,Bacteroides,K01847,0,0,7420600,0
225,MH0108_GL0057855,Bacteroides,K01847,22655000,0,0,0
226,MH0407_GL0183234,Bacteroides,K01847,13309000,0,11449000,86201000
227,MH0429_GL0030433,Bacteroides,K01847,178820000,482550000,88188000,242680000
228,MH0126_GL0038263,Clostridium,,1976600000,391860000,364220000,62625000
229,MH0006_GL0138531,Alistipes,K02879,149520000,209980000,30883000,0
230,MH0453_GL0064849,Parabacteroides,K03526,27401000,0,0,3718900
231,MH0287_GL0111692,Faecalibacterium,K01338,79065000,71916000,37808000,27305000
232,MH0013_GL0019937,Bacteroides,K21572,1693800000,3855100000,106840000,21173000
233,MH0073_GL0005555,Bacteroides,K21572,0,2128300,3556100,651350000
234,MH0002_GL0011609,Bacteroides,K03616,826090000,632050000,300030000,381590000
235,O2.UC8-2_GL0176513,Coprococcus,K00052,11022000,121380000,4360100,25818000
236,MH0038_GL0043953,Bacteroides,K21572,10795000,18604000,0,0
237,V1.FI17_GL0052293,Desulfovibrio,K21395,0,0,29530000,0
238,O2.UC32-0_GL0091387,Bacteroides,K00854,6464100,0,10068000,223300000
239,V1.CD54-0_GL0087846,Blautia,K03545,0,0,0,9630000
240,MH0329_GL0102455,Faecalibacterium,K01989,52299000,39553000,14679000,0
241,MH0085_GL0030430,Faecalibacterium,K01989,0,11167000,0,0
242,MH0276_GL0171674,Faecalibacterium,K01989,18727000,297440000,0,9146800
243,O2.UC3-1_GL0024871,Collinsella,K01595,0,49107000,0,0
244,O2.UC5-0_GL0027798,Alistipes,K01945,191140000,316770000,72672000,25891000
245,MH0131_GL0055423,Collinsella,K01803,836950000,1502100000,158650000,0
246,V1.CD41-0_GL0072655,Collinsella,K01803,27339000,77271000,48318000,9341300
247,V1.UC31-4_GL0121922,Collinsella,K01803,124310000,190720000,32196000,3808900
248,MH0391_GL0082273,Alistipes,K01803,54660000,17515000,7372800,11109000
249,V1.UC50-1_GL0181309,Ruminococcus,K01803,328500000,580030000,0,16752000
250,765640925-stool1_revised_scaffold12412_4_gene944,Bacteroides,K02230,8455900000,4198600000,4458400000,372760000
251,MH0013_GL0007148,Bacteroides,K01278,123770000,53253000,75060000,71426000
252,MH0188_GL0071805,Bifidobacterium,K01785,4130100,22682000,0,0
253,MH0149_GL0014021,Parabacteroides,K01278,54443000,0,5231100,0
254,MH0131_GL0005504,Bacteroides,COG1196,5529500,0,0,138380000
255,MH0087_GL0029467,Clostridium,K01870,37530000,202060000,13238000,60180000
256,MH0020_GL0039504,Clostridium,K00215,0,10886000,0,0
257,MH0230_GL0082425,Akkermansia,K02887,0,17709000,28287000,4250900
258,V1.CD22-0_GL0126566,Blautia,K19265,14132000,31370000,0,0
259,MH0244_GL0020952,Bacteroides,K00281,35986000,357930000,100960000,30741000
260,MH0119_GL0091115,Faecalibacterium,COG1902,56146000,11504000,0,0
261,NLF013_GL0009878,Faecalibacterium,COG1902,1148700000,2423300000,894010000,158600000
262,T2D-10A_GL0023701,Faecalibacterium,COG1902,165690000,120320000,7187100,0
263,V1.UC58-4_GL0167021,Faecalibacterium,COG1902,0,14428000,0,0
264,MH0244_GL0112145,Faecalibacterium,K01480,24566000,10245000,10224000,0
265,MH0365_GL0006806,Faecalibacterium,K01480,11612000,84870000,3296600,0
266,MH0002_GL0004017,Bacteroides,COG0457,1288100000,1162500000,912010000,560520000
267,MH0167_GL0000703,Bacteroides,COG0457,0,0,89069000,10921000
268,DLM023_GL0016438,Faecalibacterium,K02968,337610000,55156000,273490000,0
269,MH0230_GL0055312,Butyricicoccus,K02358,0,12974000,0,0
270,V1.CD54-0_GL0020104,Butyricicoccus,K02358,7795200,0,0,67014000
271,V1.FI28_GL0217539,Butyricicoccus,K02358,1377900000,362030000,296410000,86120000
272,V1.FI28_GL0089537,Faecalibacterium,,0,7816200,0,0
273,O2.CD3-0-PT_GL0076586,Robinsoniella,COG1592,34138000,33859000,147520000,15669000
274,MH0010_GL0026283,Faecalibacterium,K01647,242380000,146030000,11968000,7655100
275,MH0095_GL0090469,Bacteroides,K21572,38031000,3346100000,1880100,99274000
276,SZEY-37A_GL0000356,Collinsella,COG1579,14240000,39622000,0,0
277,MH0250_GL0272176,Alistipes,K01006,19528000,42114000,34273000,0
278,MH0005_GL0007290,Prevotella,K00008,30623000,0,0,0
279,MH0319_GL0044111,Prevotella,K00008,752850000,0,3204900,0
280,MH0230_GL0149949,Coprococcus,K10441,7756200,114980000,39363000,11476000
281,MH0101_GL0005215,Bacteroides,COG0457,0,0,435180000,94432000
282,MH0002_GL0033031,Bacteroides,COG4771,245080000,849360000,84168000,13615000
283,MH0106_GL0088823,Bacteroides,K02357,0,4522200,309920000,179270000
284,MH0163_GL0018827,Bacteroides,K02357,13151000,8683100,3985800,1134600000
285,MH0006_GL0025562,Clostridium,COG3181,0,86665000,0,3409100
286,MH0014_GL0099017,Ruminococcus,COG1653,197890000,50999000,15594000,10022000
287,O2.UC22-1_GL0110625,Ruminococcus,K01179,0,20387000,0,0
288,765094712-stool1_revised_C396390_1_gene13434,Bacteroides,K16089,11307000,244550000,0,0
289,HT14A_GL0090666,Bacteroides,COG4771,0,8732600,0,0
290,NOF009_GL0015033,Bacteroides,K01338,8811800,162570000,6640000,10930000
291,MH0003_GL0006343,Bacteroides,K01190,3625500000,1992100000,1822300000,1644900000
292,159753524-stool2_revised_scaffold441_1_gene102086,Blautia,K01190,47664000,2421000000,12975000,3765400000
293,MH0006_GL0110092,Clostridium,K10540,265090000,0,22263000,0
294,MH0013_GL0005178,Bacteroides,K01804,4493900,6200800,3104100,0
295,MH0002_GL0026458,Alistipes,K03040,53626000,74784000,30337000,0
296,MH0006_GL0111419,Alistipes,K03040,278140000,471550000,104950000,0
297,T2D-120A_GL0077369,Bilophila,K19954,10108000,615720000,15136000,11865000
298,V1.FI04_GL0172043,Bilophila,COG4577,0,88904000,38426000,4102200
299,435590.BVU_2922,Bacteroides,K21572,28897000,28301000,23291000,155460000
300,MH0131_GL0074272,Collinsella,K01887,273800000,979420000,36087000,15877000
301,DLM027_GL0005611,Ruminococcus,COG5297,0,242510000,0,0
302,DLF010_GL0032078,Bacteroides,COG0457,36542000,105790000,19137000,32533000
303,MH0092_GL0047140,Odoribacter,K21572,3212600,52573000,0,4896000
304,MH0108_GL0067651,Sutterella,K02433,30935000,6660400,19249000,1709100
305,DOF011_GL0025744,Faecalibacterium,K03545,164250000,92262000,30223000,25623000
306,MH0162_GL0088057,Faecalibacterium,K03545,29758000,0,162110000,7444800
307,T2D-19A_GL0030845,Lachnoclostridium,,0,0,0,25166000
308,SZEY-09A_GL0075141,Bacteroides,K02959,7941400000,4631900000,4056200000,3881700000
309,MH0013_GL0030255,Bacteroides,K01993,13925000,16186000,8294400,0
310,MH0101_GL0104614,Bacteroides,K01993,0,0,8897200,0
311,MH0002_GL0050527,Subdoligranulum,K02863,34406000,645440000,11210000,0
312,N037A_GL0103212,Subdoligranulum,K02863,38481000,225720000,22506000,3659900
313,MH0108_GL0054853,Sutterella,K01092,40108000,0,55896000,0
314,MH0122_GL0043537,Faecalibacterium,,307100000,957290000,44632000,0
315,O2.UC35-0_GL0160185,Faecalibacterium,,28215000,357790000,5379800,4694300
316,MH0068_GL0032297,Bacteroides,K00048,7715000,9018900,58494000,54945000
317,765094712-stool1_revised_scaffold4716_1_gene21559,Bacteroides,K00812,7290700,30914000,0,0
318,MH0004_GL0011181,Bacteroides,K00812,1757400,0,1591700,23038000
319,MH0016_GL0063817,Bacteroides,K00812,6828000,151170000,71245000,93476000
320,MH0055_GL0017451,Bacteroides,K00812,0,0,0,23563000
321,MH0333_GL0014264,Bacteroides,K00812,0,0,7940400,8934400
322,O2.UC19-2_GL0005256,Bacteroides,K00812,136870000,135150000,42127000,1508500
323,V1.UC26-4_GL0140736,Bacteroides,K00812,3427700,6743200,0,32333000
324,MH0020_GL0042325,Bacteroides,K00812,0,6684300,0,15396000
325,MH0094_GL0097500,Bacteroides,K00812,6512400,0,5113700,13691000
326,O2.UC50-0_GL0128273,Bacteroides,K00812,307770000,215050000,468300000,381150000
327,MH0023_GL0019986,Prevotella,K00812,472970000,0,13717000,0
328,159247771-stool1_revised_C700744_1_gene45087,Bacteroides,K00812,0,10791000,0,4799100
329,MH0393_GL0068516,Bilophila,COG1882,44737000,1176000000,89940000,7753300
330,MH0122_GL0063556,Faecalibacterium,K00048,96621000,77976000,53865000,0
331,DLM011_GL0043975,Faecalibacterium,K00048,35506000,46265000,0,1963300
332,MH0230_GL0055202,Faecalibacterium,K00048,3739200,2983900,10101000,0
333,MH0261_GL0045231,Faecalibacterium,K00048,64915000,56466000,60118000,0
334,MH0268_GL0083609,Faecalibacterium,K00048,0,0,8360300,0
335,MH0292_GL0023354,Faecalibacterium,K00048,545470000,234250000,116130000,3271500
336,N085A_GL0019946,Faecalibacterium,K00048,173110000,433730000,311810000,281880000
337,O2.UC14-1_GL0004346,Faecalibacterium,K00048,0,0,8732900,0
338,V1.FI25_GL0092120,Collinsella,K00703,27381000,136270000,0,0
339,MH0193_GL0052517,Bifidobacterium,K23508,428260000,1361300000,5921900,8145600
340,N017A_GL0092807,Faecalibacterium,K03545,374830000,1624400000,200780000,23110000
341,O2.UC32-1_GL0109131,Faecalibacterium,K03545,409960000,442400000,115260000,0
342,O2.UC8-1_GL0096881,Dorea,K10439,31705000,16183000,199160000,25019000
343,O2.UC22-2_GL0059825,Bacteroides,COG0189,56013000,35826000,20900000,28455000
344,457424.BFAG_00304,Bacteroides,K21572,79764000,138540000,1410100000,40065000
345,N003A_GL0002329,Bacteroides,K17828,258540000,291230000,230020000,249390000
346,MH0013_GL0030573,Bacteroides,K18139,75005000,64474000,11021000,0
347,MH0010_GL0030292,Bacteroides,K18139,40004000,18947000,20295000,40807000
348,MH0109_GL0043942,Bacteroides,K18139,73381000,27028000,48187000,289220000
